"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7141","multiple file upload","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\fileUpload.spec.ts","",""
"","20970","Should login successfully","Chromium Desktop","2026-06-21","passed","2026-06-21","Login functionality","demo\adv.cap.login.spec.ts","",""
"","8560","handling nested frames","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\frames.spec.ts","",""
"","26813","check boxes in amazon","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\CheckBoxes.spec.ts","",""
"","4882","copy paste","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\keyboardActions.spec.ts","",""
"","25624","searchable dropdown","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\dropdown.spec.ts","",""
"","86547","date picker","Chromium Desktop","2026-06-21","broken","2026-06-21","","demo\datePicker.spec.ts","",""
"","10240","Multiple windows","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\multipleWindowsTabs.spec.ts","",""
"","17267","ternary 2 with amazon","Chromium Desktop","2026-06-21","passed","2026-06-21","","programmingBasics\ternaryOperators.spec.ts","",""
"","5488","radioButton","Chromium Desktop","2026-06-21","passed","2026-06-21","","demo\inputBoxAndRadio.spec.ts","",""
"","22245","Loactors tutorialspoint","Chromium Desktop","2026-06-21","passed","2026-06-21","","Locators.spec.ts","",""
